Gejala,Kategori
Berkeringat,Gangguan Kecemasan
Berdebar,Gangguan Kecemasan
Tersedak,Gangguan Kecemasan
Nyeri dada,Gangguan Kecemasan
Serangan jantung,Gangguan Kecemasan
Ketakutan,Gangguan Kecemasan
Gemetar,Gangguan Kecemasan
Lesu,Gangguan Kecemasan
Sesak dada,Gangguan Kecemasan
Cemas,Gangguan Kecemasan
Putus asa,Depresi
Emosi tidak stabil,Depresi
Pusing,Depresi
Menurun selera makan,Depresi
Kehilangan energi,Depresi
Menurunnya kemampuan berkosentrasi,Depresi
Ketidakmampuan membuat keputusan,Depresi
Rasa tidak tenang,Depresi
Perasaan tidak berguna,Depresi
Mudah terganggu,Bipolar
Berbicara sangat cepat,Bipolar
Keinginan tidur menurun,Bipolar
Percaya diri berlebihan,Bipolar
Sangat gelisah,Bipolar
Mudah marah,Skizofrenia
Suka berhalusinasi,Skizofrenia
Enggan bersosialisasi,Skizofrenia
Sulit untuk merasa senang atau puas,Skizofrenia
Sulit berkonsentrasi,Skizofrenia
damai,Sehat
nyaman,Sehat
sehat,Sehat
tentram,Sehat
bahagia,Sehat
senang,Sehat
senyum,Sehat
tertawa,Sehat
suka,Sehat